Name,NameASCII,Season,Team,Age,PA,wRC+,BB%,K%,ISO,Spd,z_wRC+,z_BB%,z_K%,z_ISO,z_Spd,composite_score,age_multiplier,adjusted_composite,player_type,seasons_used
Hyun Min Ahn 안현민,Hyun Min Ahn,2026,Wiz (KBO),22,626,175.2421922237176,0.1613418523290735,0.16293929676996807,0.2260120517507987,5.150154208620428,3.3012645648866834,3.0445037173655254,-0.6905596304106806,1.891328690612711,0.4164197162871576,2.214958500110145,1.15,2.5472022751266667,KBO_only,2025-2026
Do Yeong Kim 김도영,Do Yeong Kim,2026,Tigers (KBO),22,1503,153.9832041071491,0.10711909492481703,0.17032601457085828,0.26352011005721887,7.415114718958725,2.9761115411135273,0.9707245692498836,-0.6956230321188013,3.195605343279283,2.0836172309222394,1.9623417356544057,1.15,2.2566929960025663,KBO_only,2023-2026
Lewin Díaz 디아즈,Lewin Diaz,2026,Lions (KBO),29,1128,150.5468811540445,0.09929077986702127,0.16400709139716313,0.2779837147180851,1.900460924495531,2.6454843138319113,0.5344656533035439,-0.7951588445889878,3.336355866429522,-1.6304389695101449,1.423702959406671,0.9,1.281332663466004,KBO_only,2024-2026
Yonathan Perlaza 페라자,Yonathan Perlaza,2026,Eagles (KBO),27,890,132.76858699018615,0.13033707849662923,0.2247191004134831,0.2250925192067416,3.8135922273451754,1.6654223071703933,1.939516434194355,0.5216260689437308,2.0792792235919317,-0.36221447714362054,1.1558510227353882,1.0,1.1558510227353882,KBO_only,2024-2026
Bo-gyeong Moon 문보경,Bo-gyeong Moon,2026,Twins (KBO),25,1993,123.8457958055439,0.1209232308078274,0.1746111383055695,0.17509265478825892,3.5766556563977216,1.4611496067887424,1.7566572215462184,-0.6240646660339816,1.2419449040635706,-0.5853715816399615,1.1300766980755128,1.0,1.1300766980755128,KBO_only,2023-2026
Seung-kyu Park 박승규,Seung-kyu Park,2026,Lions (KBO),25,462,133.10528575766568,0.1320346316233766,0.17316017313419915,0.18005048797402595,5.968203829222113,1.3479787840550663,1.6256834974863297,-0.43864286371225236,0.932259030016604,0.7799398067477887,1.1163759175078223,1.0,1.1163759175078223,KBO_only,2025-2026
Ji-chan Kim 김지찬,Ji-chan Kim,2026,Lions (KBO),25,1584,110.4180028914148,0.11868686806881314,0.08964646421590909,0.04886043085984848,7.040130802869623,0.7017217922145443,1.581163069354436,-2.6005533710493456,-1.6894324233301534,1.8410486835491835,1.0566079840682367,1.0,1.0566079840682367,KBO_only,2023-2026
Seong-yoon Kim 김성윤,Seong-yoon Kim,2026,Lions (KBO),27,1160,124.1249588754647,0.09655172341982758,0.11465517199913791,0.11222078411724139,7.510884760567839,1.3428114661491721,0.40327482455686703,-1.8975646937348156,-0.2290349867923847,2.047138516451721,1.053533688357246,1.0,1.053533688357246,KBO_only,2023-2026
Si-hwan Roh 노시환,Si-hwan Roh,2026,Eagles (KBO),25,2160,127.80167814373473,0.10925925876990741,0.2152777769699074,0.22135543578333333,4.037499879681252,1.695055281101242,1.141616263475893,0.36814084375100375,2.3609428531445342,-0.2563012168708768,1.0488037877337375,1.0,1.0488037877337375,KBO_only,2023-2026
Seong-han Park 박성한,Seong-han Park,2026,Landers (KBO),28,2005,114.38485566963685,0.12817955058902744,0.13965087230773068,0.10435738230872818,3.509728666450519,0.9454569283833683,2.1485338899533777,-1.4756649812514822,-0.4319593459264265,-0.6339523717990018,0.9877144081847872,0.9,0.8889429673663085,KBO_only,2023-2026
